Title,Date,view_count,like_count,comment_count,url
أهداف مباراة ريال مدريد 4 - 4 ريال سوسيداد | إياب نصف نهائي كأس ملك إسبانيا,2025-04-01,2482819,47261,1608,https://youtu.be/TtnO5u1pQGg
🔴هدف هانى ينقذ اهلى كولر ولكن؟! الاهلى والهلال 1-0 فى ذهاب دور ال8 دورى ابطال افريقيا,2025-04-01,791773,46595,4,https://youtu.be/kzY8m3D8t2Q
ملخص مباراة الاتحاد 3 - 2 الشباب | دور نصف النهائي من كأس خادم الحرمين الشريفين,2025-04-01,698855,9823,1041,https://youtu.be/NCE001ZfsBA
"لقطة فضيحة 🙄🔥 سر لقطة محمد هاني وحكم مباراة الهلال "" مباراة الاهلي والهلال السوداني ""| كابتن دوله",2025-04-01,595339,7195,379,https://youtu.be/bj_MQOBfXsc
ملخص مباراة  ريال مدريد وريال سوسيداد 4-4 في كأس ملك إسبانيا,2025-04-01,541460,10428,333,https://youtu.be/M2Wr3aQ2jLw
ملخص مباراة آرسنال وفولهام (2-1) | الدوري الإنجليزي - الجولة 30,2025-04-01,496200,14122,216,https://youtu.be/QKxaOjNMjQU
ملخص مباراة بيراميدز والجيش الملكي (4-1) | دوري أبطال إفريقيا - ذهاب ربع النهائي,2025-04-01,466915,7149,1473,https://youtu.be/9pe3O_8ksv4
ملخص مباراة دنكرك وباريس سان جيرمان (2-4) | كأس فرنسا - الدور نصف النهائي,2025-04-01,450177,12239,360,https://youtu.be/G8wqqUqK1r4
ملخص مباراة الأهلي والهلال (1-0) | دوري أبطال إفريقيا - ذهاب ربع النهائي,2025-04-01,422847,7000,350,https://youtu.be/T599kVYEWh4
أهداف مباراة الاتحاد 3 - 2 الشباب | دور نصف النهائي من كأس خادم الحرمين الشريفين,2025-04-01,372709,6362,510,https://youtu.be/luVpsZA9SYw
أهداف مباراة الأهلي و الهلال السوداني 1-0|ملخص أهدف مباراة الأهلي و الهلال السوداني #الاهلي #الأهلي,2025-04-01,330465,3522,28,https://youtu.be/7SODe8bDo7k
ملخص مباراة ماميلودي صنداونز والترجي التونسي (1-0) | دوري أبطال إفريقيا - ذهاب ربع النهائي,2025-04-01,327778,5919,489,https://youtu.be/pBBnFizXJpM
ملخص مباراة مولودية الجزائر وأورلاندو بايرتس  (0-1) | دوري أبطال إفريقيا - ذهاب ربع النهائي,2025-04-01,270827,3468,978,https://youtu.be/RMAbR3xzX7o
